,Q2,x,z,pt
0,1.62,0.12,0.15,0.05
1,1.62,0.12,0.15,0.15000000000000002
2,1.62,0.12,0.15,0.25000000000000006
3,1.62,0.12,0.15,0.35000000000000003
4,1.62,0.12,0.15,0.45000000000000007
5,1.62,0.12,0.15,0.5500000000000002
6,1.62,0.12,0.15,0.6500000000000001
7,1.62,0.12,0.15,0.7500000000000002
8,1.62,0.12,0.15,0.8500000000000002
9,1.62,0.12,0.15,0.9500000000000002
10,1.62,0.12,0.15,1.0500000000000003
11,1.62,0.12,0.25,0.05
12,1.62,0.12,0.25,0.15000000000000002
13,1.62,0.12,0.25,0.25000000000000006
14,1.62,0.12,0.25,0.35000000000000003
15,1.62,0.12,0.25,0.45000000000000007
16,1.62,0.12,0.25,0.5500000000000002
17,1.62,0.12,0.25,0.6500000000000001
18,1.62,0.12,0.25,0.7500000000000002
19,1.62,0.12,0.25,0.8500000000000002
20,1.62,0.12,0.25,0.9500000000000002
21,1.62,0.12,0.25,1.0500000000000003
22,1.62,0.12,0.35,0.05
23,1.62,0.12,0.35,0.15000000000000002
24,1.62,0.12,0.35,0.25000000000000006
25,1.62,0.12,0.35,0.35000000000000003
26,1.62,0.12,0.35,0.45000000000000007
27,1.62,0.12,0.35,0.5500000000000002
28,1.62,0.12,0.35,0.6500000000000001
29,1.62,0.12,0.35,0.7500000000000002
30,1.62,0.12,0.35,0.8500000000000002
31,1.62,0.12,0.35,0.9500000000000002
32,1.62,0.12,0.35,1.0500000000000003
33,1.62,0.12,0.45000000000000007,0.05
34,1.62,0.12,0.45000000000000007,0.15000000000000002
35,1.62,0.12,0.45000000000000007,0.25000000000000006
36,1.62,0.12,0.45000000000000007,0.35000000000000003
37,1.62,0.12,0.45000000000000007,0.45000000000000007
38,1.62,0.12,0.45000000000000007,0.5500000000000002
39,1.62,0.12,0.45000000000000007,0.6500000000000001
40,1.62,0.12,0.45000000000000007,0.7500000000000002
41,1.62,0.12,0.45000000000000007,0.8500000000000002
42,1.62,0.12,0.45000000000000007,0.9500000000000002
43,1.62,0.12,0.45000000000000007,1.0500000000000003
44,1.62,0.12,0.55,0.05
45,1.62,0.12,0.55,0.15000000000000002
46,1.62,0.12,0.55,0.25000000000000006
47,1.62,0.12,0.55,0.35000000000000003
48,1.62,0.12,0.55,0.45000000000000007
49,1.62,0.12,0.55,0.5500000000000002
50,1.62,0.12,0.55,0.6500000000000001
51,1.62,0.12,0.55,0.7500000000000002
52,1.62,0.12,0.55,0.8500000000000002
53,1.62,0.12,0.55,0.9500000000000002
54,1.62,0.12,0.55,1.0500000000000003
55,1.62,0.12,0.65,0.05
56,1.62,0.12,0.65,0.15000000000000002
57,1.62,0.12,0.65,0.25000000000000006
58,1.62,0.12,0.65,0.35000000000000003
59,1.62,0.12,0.65,0.45000000000000007
60,1.62,0.12,0.65,0.5500000000000002
61,1.62,0.12,0.65,0.6500000000000001
62,1.62,0.12,0.65,0.7500000000000002
63,1.62,0.12,0.65,0.8500000000000002
64,1.62,0.12,0.65,0.9500000000000002
65,1.62,0.12,0.65,1.0500000000000003
66,1.62,0.12,0.7500000000000001,0.05
67,1.62,0.12,0.7500000000000001,0.15000000000000002
68,1.62,0.12,0.7500000000000001,0.25000000000000006
69,1.62,0.12,0.7500000000000001,0.35000000000000003
70,1.62,0.12,0.7500000000000001,0.45000000000000007
71,1.62,0.12,0.7500000000000001,0.5500000000000002
72,1.62,0.12,0.7500000000000001,0.6500000000000001
73,1.62,0.12,0.7500000000000001,0.7500000000000002
74,1.62,0.12,0.7500000000000001,0.8500000000000002
75,1.62,0.12,0.7500000000000001,0.9500000000000002
76,1.62,0.12,0.7500000000000001,1.0500000000000003
77,1.62,0.12,0.8500000000000001,0.05
78,1.62,0.12,0.8500000000000001,0.15000000000000002
79,1.62,0.12,0.8500000000000001,0.25000000000000006
80,1.62,0.12,0.8500000000000001,0.35000000000000003
81,1.62,0.12,0.8500000000000001,0.45000000000000007
82,1.62,0.12,0.8500000000000001,0.5500000000000002
83,1.62,0.12,0.8500000000000001,0.6500000000000001
84,1.62,0.12,0.8500000000000001,0.7500000000000002
85,1.62,0.12,0.8500000000000001,0.8500000000000002
86,1.62,0.12,0.8500000000000001,0.9500000000000002
87,1.62,0.12,0.8500000000000001,1.0500000000000003
88,1.77,0.21,0.15,0.05
89,1.77,0.21,0.15,0.15000000000000002
90,1.77,0.21,0.15,0.25000000000000006
91,1.77,0.21,0.15,0.35000000000000003
92,1.77,0.21,0.15,0.45000000000000007
93,1.77,0.21,0.15,0.5500000000000002
94,1.77,0.21,0.15,0.6500000000000001
95,1.77,0.21,0.15,0.7500000000000002
96,1.77,0.21,0.15,0.8500000000000002
97,1.77,0.21,0.15,0.9500000000000002
98,1.77,0.21,0.15,1.0500000000000003
99,1.77,0.21,0.25,0.05
100,1.77,0.21,0.25,0.15000000000000002
101,1.77,0.21,0.25,0.25000000000000006
102,1.77,0.21,0.25,0.35000000000000003
103,1.77,0.21,0.25,0.45000000000000007
104,1.77,0.21,0.25,0.5500000000000002
105,1.77,0.21,0.25,0.6500000000000001
106,1.77,0.21,0.25,0.7500000000000002
107,1.77,0.21,0.25,0.8500000000000002
108,1.77,0.21,0.25,0.9500000000000002
109,1.77,0.21,0.25,1.0500000000000003
110,1.77,0.21,0.35,0.05
111,1.77,0.21,0.35,0.15000000000000002
112,1.77,0.21,0.35,0.25000000000000006
113,1.77,0.21,0.35,0.35000000000000003
114,1.77,0.21,0.35,0.45000000000000007
115,1.77,0.21,0.35,0.5500000000000002
116,1.77,0.21,0.35,0.6500000000000001
117,1.77,0.21,0.35,0.7500000000000002
118,1.77,0.21,0.35,0.8500000000000002
119,1.77,0.21,0.35,0.9500000000000002
120,1.77,0.21,0.35,1.0500000000000003
121,1.77,0.21,0.45000000000000007,0.05
122,1.77,0.21,0.45000000000000007,0.15000000000000002
123,1.77,0.21,0.45000000000000007,0.25000000000000006
124,1.77,0.21,0.45000000000000007,0.35000000000000003
125,1.77,0.21,0.45000000000000007,0.45000000000000007
