Study Name: Study_3
Number of Trials: 100

Best Trial ID: 94
Best Value: 0.09823530912399292
Best Parameters:
  MLP_hidden_dim: 53
  linear_capacity: 3
  n_linear_layers: 9
  n_conv_layers: 1
  lr: 0.0003523468201778687

All Trials:
Trial 0: Value=5.277840614318848, Params={'MLP_hidden_dim': 93, 'linear_capacity': 6, 'n_linear_layers': 7, 'n_conv_layers': 4, 'lr': 0.04683844944778554}
Trial 1: Value=0.1581883728504181, Params={'MLP_hidden_dim': 69, 'linear_capacity': 8, 'n_linear_layers': 5, 'n_conv_layers': 2, 'lr': 0.00017129539374646086}
Trial 2: Value=0.3088347315788269, Params={'MLP_hidden_dim': 18, 'linear_capacity': 8, 'n_linear_layers': 7, 'n_conv_layers': 4, 'lr': 0.029733602598304626}
Trial 3: Value=0.3091426491737366, Params={'MLP_hidden_dim': 57, 'linear_capacity': 8, 'n_linear_layers': 8, 'n_conv_layers': 4, 'lr': 0.020476720488543123}
Trial 4: Value=0.24668574333190918, Params={'MLP_hidden_dim': 63, 'linear_capacity': 7, 'n_linear_layers': 4, 'n_conv_layers': 6, 'lr': 0.0031484294439931087}
Trial 5: Value=0.3088868260383606, Params={'MLP_hidden_dim': 39, 'linear_capacity': 5, 'n_linear_layers': 9, 'n_conv_layers': 2, 'lr': 0.00950694534476344}
Trial 6: Value=0.5772913098335266, Params={'MLP_hidden_dim': 56, 'linear_capacity': 8, 'n_linear_layers': 5, 'n_conv_layers': 1, 'lr': 0.029526237380128738}
Trial 7: Value=0.09892290830612183, Params={'MLP_hidden_dim': 43, 'linear_capacity': 3, 'n_linear_layers': 7, 'n_conv_layers': 1, 'lr': 0.0004265157255271877}
Trial 8: Value=0.30924689769744873, Params={'MLP_hidden_dim': 70, 'linear_capacity': 8, 'n_linear_layers': 8, 'n_conv_layers': 6, 'lr': 0.002516515391163242}
Trial 9: Value=0.1552472859621048, Params={'MLP_hidden_dim': 51, 'linear_capacity': 6, 'n_linear_layers': 6, 'n_conv_layers': 2, 'lr': 0.005965801183661579}
Trial 10: Value=0.10195298492908478, Params={'MLP_hidden_dim': 25, 'linear_capacity': 3, 'n_linear_layers': 12, 'n_conv_layers': 1, 'lr': 0.0003366366695412884}
Trial 11: Value=0.10839810222387314, Params={'MLP_hidden_dim': 23, 'linear_capacity': 3, 'n_linear_layers': 12, 'n_conv_layers': 1, 'lr': 0.0003944318573073546}
Trial 12: Value=0.10049000382423401, Params={'MLP_hidden_dim': 35, 'linear_capacity': 3, 'n_linear_layers': 11, 'n_conv_layers': 1, 'lr': 0.0007484329556540351}
Trial 13: Value=0.1140412986278534, Params={'MLP_hidden_dim': 38, 'linear_capacity': 4, 'n_linear_layers': 10, 'n_conv_layers': 3, 'lr': 0.0008812536133445518}
